genre,frequencia_absoluta,frequencia_relativa_percentual
,12801,73.52
Dream Pop,742,4.26
Indie Folk,450,2.58
Synthwave,382,2.19
Doom Metal,348,2.0
Oceanus Folk,305,1.75
Alternative Rock,258,1.48
Southern Gothic Rock,242,1.39
Indie Rock,208,1.19
Americana,184,1.06
Psychedelic Rock,172,0.99
Lo-Fi Electronica,136,0.78
Indie Pop,134,0.77
Jazz Surf Rock,127,0.73
Desert Rock,125,0.72
Space Rock,121,0.69
Blues Rock,109,0.63
Darkwave,104,0.6
Speed Metal,84,0.48
Emo/Pop Punk,77,0.44
Post-Apocalyptic Folk,72,0.41
Avant-Garde Folk,70,0.4
Symphonic Metal,64,0.37
Synthpop,46,0.26
Sea Shanties,21,0.12
Acoustic Folk,18,0.1
Celtic Folk,12,0.07
