release_year,count
1975.0,6
1977.0,5
1979.0,6
1980.0,4
1981.0,12
1982.0,4
1983.0,3
1984.0,24
1985.0,14
1986.0,9
1987.0,29
1988.0,3
1989.0,15
1990.0,12
1991.0,45
1992.0,18
1993.0,16
1994.0,42
1995.0,18
1996.0,20
1997.0,84
1998.0,16
1999.0,21
2000.0,73
2001.0,18
2002.0,21
2003.0,34
2004.0,126
2005.0,24
2006.0,27
2007.0,145
2008.0,28
2009.0,45
2010.0,212
2011.0,34
2012.0,51
2013.0,282
2014.0,49
2015.0,52
2016.0,53
2017.0,317
2018.0,78
2019.0,75
2020.0,331
2021.0,63
2022.0,114
2023.0,405
2024.0,170
2025.0,155
2026.0,317
2027.0,186
2028.0,173
2029.0,255
2030.0,70
2031.0,39
2032.0,22
2033.0,32
2034.0,29
2035.0,33
2036.0,20
2037.0,8
2038.0,10
2039.0,6
2040.0,3
