Node Type,name,single,release_date,genre,notable,id,written_date,stage_name,notoriety_date,release_year,grau_saida,grau_entrada,grau_total
Song,Breaking These Chains,True,2017,Oceanus Folk,True,0,,,,2017.0,2,3,5
Person,Carlos Duffy,,,,,1,,,,,2,0,2
Person,Min Qin,,,,,2,,,,,2,0,2
Person,Xiuying Xie,,,,,3,,,,,1,0,1
RecordLabel,Nautical Mile Records,,,,,4,,,,,0,2,2
Song,Unshackled Heart,False,2026,Lo-Fi Electronica,True,5,,,,2026.0,14,4,18
Person,Luke Payne,,,,,6,,,,,1,0,1
Person,Xiulan Zeng,,,,,7,,,,,12,0,12
Person,David Franklin,,,,,8,,,,,4,0,4
RecordLabel,Colline-Cascade Studios,,,,,9,,,,,0,71,71
Song,No Limits Left,True,2020,Indie Folk,True,10,2020,,,2020.0,2,4,6
Person,Gang Long,,,,,11,,,,,3,0,3
Person,Yong Yi,,,,,12,,,,,2,0,2
Person,Li Yi,,,,,13,,,,,4,0,4
RecordLabel,Ipecac Echo,,,,,14,,,,,0,15,15
Song,Sovereign Soul,True,2027,Darkwave,False,15,,,,2027.0,3,7,10
Person,Timothy Shea,,,,,16,,,,,3,0,3
Person,Philippine Colin,,,,,17,,,,,2,0,2
Person,Connor Juarez,,,,,18,,,,,1,0,1
Person,Jordan Mullins,,,,,19,,,,,2,0,2
Person,Xiuying Meng,,,,,20,,,,,3,0,3
RecordLabel,Plenaod Groove,,,,,21,,,,,0,1,1
RecordLabel,Crimson Echo,,,,,22,,,,,0,5,5
RecordLabel,Montfort Melodies,,,,,23,,,,,0,1,1
RecordLabel,Echo Chamber Studios | ECS,,,,,24,,,,,0,18,18
RecordLabel,Elysian Soundworks,,,,,25,,,,,0,10,10
Song,"Clean Lungs, Clear Mind",False,2022,Speed Metal,True,26,,,,2022.0,7,7,14
Person,Anatol Dietz,,,,,27,,The Hollow Lantern,,,4,0,4
Person,Tracy Simpson,,,,,28,,,,,1,0,1
Person,Lorraine Martinez,,,,,29,,,,,9,0,9
Person,Megan Bennett,,,,,30,,,,,33,0,33
RecordLabel,Galil Groove,,,,,31,,,,,0,18,18
RecordLabel,Collective Harmony,,,,,32,,,,,0,74,74
RecordLabel,Ascend Audio,,,,,33,,,,,0,14,14
RecordLabel,Nexus Sonic,,,,,34,,,,,0,24,24
Album,Sober Streets,,2007,Blues Rock,True,35,,,,2007.0,2,3,5
Person,Alexis Church,,,,,36,,,,,1,0,1
Person,Hansh Ramanathan,,,,,37,,,,,4,0,4
RecordLabel,Roccastrada,,,,,38,,,,,0,2,2
Song,Healthier Than Yesterday,True,2010,Indie Folk,True,39,,,,2010.0,1,4,5
Person,Na Dong,,,,,40,,,,,5,0,5
RecordLabel,Pulse Wave Music,,,,,41,,,,,0,1,1
Song,Midnight Clarity,True,2020,Synthwave,True,42,,,,2020.0,2,6,8
Person,James Taylor,,,,,43,,,,,6,0,6
Person,Jennifer Smith,,,,,44,,,,,2,0,2
Person,Kyle Anderson,,,,,45,,,,,2,0,2
RecordLabel,Echo Vault Records,,,,,46,,,,,0,58,58
RecordLabel,Verdant Verse,,,,,47,,,,,0,3,3
Song,Arcane Whispers,False,2017,Indie Folk,True,48,,,,2017.0,3,7,10
Person,Xia Yang,,,,,49,,,,,1,0,1
Person,Tao Zeng,,,,,50,,,,,2,0,2
Person,Guiying Qin,,,,,51,,,,,1,0,1
Person,Na Guo,,,,,52,,,,,6,0,6
RecordLabel,Univalle Groove,,,,,53,,,,,0,14,14
Song,Starlight's Sorcerer,True,2003,Alternative Rock,True,54,2003,,,2003.0,3,4,7
Person,Miki Hasegawa,,,,,55,,,,,2,0,2
Person,Asuka Takahashi,,,,,56,,,,,6,0,6
Person,Miki Miura,,,,,57,,,,,2,0,2
RecordLabel,Verdant Echo Recordings,,,,,58,,,,,0,2,2
RecordLabel,Crystalline Echo,,,,,59,,,,,0,3,3
Song,Runes and Riddles,True,2023,Americana,True,60,,,,2023.0,4,9,13
Person,Mitchell Hernandez,,,,,61,,,,,1,0,1
Person,Christopher Harris,,,,,62,,,,,1,0,1
Person,Min Qiao,,,,,63,,,,,1,0,1
Person,April Morris,,,,,64,,,,,1,0,1
Person,Sara Parker,,,,,65,,,,,6,0,6
Person,Gang Su,,,,,66,,,,,1,0,1
Person,Guiying Pan,,,,,67,,,,,6,0,6
RecordLabel,Heidewerken Records,,,,,68,,,,,0,1,1
RecordLabel,Calende Sound,,,,,69,,,,,0,1,1
RecordLabel,Basilique Sonore,,,,,70,,,,,0,1,1
Album,Forgotten Incantation,,2017,Indie Folk,True,71,,,,2017.0,4,7,11
Person,Amy Mejia,,,,,72,,,,,2,0,2
Person,Yang Pan,,,,,73,,,,,1,0,1
Person,Min Hu,,,,,74,,,,,8,0,8
Person,Juan Feng,,,,,75,,,,,7,0,7
Person,Ming Ren,,,,,76,,,,,6,0,6
RecordLabel,Esche Sounds,,,,,77,,,,,0,1,1
