Node Type,name,single,release_date,genre,notable,id,written_date,stage_name,notoriety_date,release_year,grau_saida,grau_entrada,grau_total
Song,Unshackled Heart,False,2026,Lo-Fi Electronica,True,5,,,,2026.0,14,4,18
RecordLabel,Colline-Cascade Studios,,,,,9,,,,,0,71,71
RecordLabel,Ipecac Echo,,,,,14,,,,,0,15,15
RecordLabel,Echo Chamber Studios | ECS,,,,,24,,,,,0,18,18
Song,"Clean Lungs, Clear Mind",False,2022,Speed Metal,True,26,,,,2022.0,7,7,14
Person,Megan Bennett,,,,,30,,,,,33,0,33
RecordLabel,Galil Groove,,,,,31,,,,,0,18,18
RecordLabel,Collective Harmony,,,,,32,,,,,0,74,74
RecordLabel,Ascend Audio,,,,,33,,,,,0,14,14
RecordLabel,Nexus Sonic,,,,,34,,,,,0,24,24
RecordLabel,Echo Vault Records,,,,,46,,,,,0,58,58
RecordLabel,Univalle Groove,,,,,53,,,,,0,14,14
RecordLabel,Mucambo Groove,,,,,79,,,,,0,96,96
RecordLabel,Verdant Groove,,,,,91,,,,,0,28,28
Song,Synth-Pop Tanz Explosion,True,2023,Americana,True,92,,,2023,2023.0,4,10,14
Person,Ping Meng,,,,,115,,,,,19,0,19
RecordLabel,Epoch Resonance Records,,,,,117,,,,,0,19,19
RecordLabel,Periáñez Pulse,,,,,118,,,,,0,35,35
RecordLabel,Pascoli Sonoro,,,,,137,,,,,0,18,18
RecordLabel,Adriatic Resonance,,,,,138,,,,,0,60,60
Person,Xia Wu,,,,,141,,,,,15,0,15
RecordLabel,Radiant Echo,,,,,143,,,,,0,31,31
Song,Grandfather's Faded Photographs,True,2010,Speed Metal,True,148,2010,,,2010.0,8,7,15
Person,Li Luo,,,,,150,,,,,16,0,16
RecordLabel,Ember Crescent,,,,,153,,,,,0,15,15
Album,Tales Without Words,,2010,Indie Folk,True,155,,,2010,2010.0,4,10,14
Person,Regina Hesse,,,,,163,,,,,18,0,18
RecordLabel,Vives Sonores,,,,,164,,,,,0,27,27
RecordLabel,Cascata Sound,,,,,168,,,,,0,43,43
Person,Lei Liao,,,,,172,,,,,14,0,14
RecordLabel,Blue Bayou Sound,,,,,173,,,,,0,24,24
RecordLabel,Echo Chamber Records,,,,,174,,,,,0,224,224
RecordLabel,Sierra Rubio Sounds,,,,,181,,,,,0,32,32
RecordLabel,Howling Squash Productions,,,,,195,,,,,0,15,15
RecordLabel,Twilight Passage,,,,,208,,,,,0,42,42
Song,Luminous Path,True,2029,Darkwave,True,210,,,2029,2029.0,13,6,19
