Node Type,name,single,release_date,genre,notable,id,written_date,stage_name,notoriety_date,release_year,grau_saida,grau_entrada,grau_total
RecordLabel,Echo Chamber Records,,,,,174,,,,,0,224,224
RecordLabel,Kamiogawa Rhythms,,,,,218,,,,,0,157,157
Song,Whispers of Finality,False,1997,Doom Metal,True,15622,,,,1997.0,2,151,153
Song,Ripples and Whispers,True,2010,Indie Folk,True,1841,,,,2010.0,2,148,150
RecordLabel,99Ascent,,,,,620,,,,,0,98,98
RecordLabel,Mucambo Groove,,,,,79,,,,,0,96,96
Song,Mercy's Endless Tide,True,2004,Doom Metal,True,6006,,,,2004.0,3,80,83
RecordLabel,Collective Harmony,,,,,32,,,,,0,74,74
RecordLabel,Colline-Cascade Studios,,,,,9,,,,,0,71,71
RecordLabel,Adra Amplify,,,,,444,,,,,0,69,69
Song,Requiem for a Fading Self,True,2022,Synthwave,True,7278,2022,,2022,2022.0,25,37,62
Person,Sailor Shift,,,,,17255,,,,,52,8,60
RecordLabel,Adriatic Resonance,,,,,138,,,,,0,60,60
Song,Rising From the Shadows,False,2022,Synthwave,True,3362,,,,2022.0,38,20,58
RecordLabel,Echo Vault Records,,,,,46,,,,,0,58,58
Song,Golden Hour Reverie,True,2009,Psychedelic Rock,True,9884,,,,2009.0,2,55,57
Song,When Pigs Fly,True,2006,Lo-Fi Electronica,True,827,,,,2006.0,5,50,55
RecordLabel,Alta Cascata,,,,,575,,,,,0,55,55
RecordLabel,Altopiano Records,,,,,1481,,,,,0,54,54
Song,Suffering's Embrace,True,2007,Doom Metal,True,7116,,,,2007.0,3,51,54
