tabela,variavel,qtd_validos,media,mediana,moda,minimo,maximo,amplitude,q1,q2,q3,desvio_padrao,variancia
MC1 - Rounds,round_index,23,11.0,11.0,0.0,0.0,22.0,22.0,5.5,11.0,16.5,6.782329983125268,46.0
MC1 - Rounds,qtd_communications,23,39.65217391304348,41.0,30.0,23.0,56.0,33.0,30.0,41.0,50.0,11.589998414197764,134.3280632411067
MC1 - Rounds,qtd_participants,23,4.3478260869565215,4.0,4.0,2.0,7.0,5.0,3.5,4.0,6.0,1.4650068461575658,2.1462450592885376
MC1 - Rounds,qtd_media_events,23,0.30434782608695654,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.4704719688969648,0.22134387351778662
MC1 - Rounds,qtd_news,23,2.1739130434782608,2.0,2.0,0.0,5.0,5.0,1.0,2.0,3.5,1.825381004140418,3.33201581027668
MC1 - Rounds,qtd_external_actor_actions,23,0.7391304347826086,1.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.8643121965600911,0.7470355731225294
MC1 - Rounds,qtd_social_manager_alerts,23,0.43478260869565216,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5068698018697019,0.2569169960474308
MC1 - Rounds,qtd_agents_unavailable,23,0.17391304347826086,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.6503267649311159,0.42292490118577086
MC1 - Rounds,qtd_critical_deadlines,23,0.21739130434782608,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.42174116783664994,0.17786561264822132
MC1 - Communications,round_index,912,12.137061403508772,13.0,15.0,0.0,22.0,22.0,6.0,13.0,18.0,6.750360182654466,45.56736259556684
MC1 - Communications,qtd_recipients,912,0.9901315789473685,1.0,1.0,0.0,4.0,4.0,1.0,1.0,1.0,0.798538170590992,0.6376632098908082
MC1 - Communications,qtd_caracteres,912,429.21491228070175,305.0,10.0,4.0,3835.0,3831.0,175.0,305.0,514.0,449.21411541689525,201793.3214897837
MC1 - Communications,qtd_palavras,912,68.61513157894737,49.0,1.0,1.0,548.0,547.0,29.0,49.0,84.0,71.05263050773199,5048.476302068288
MC1 - Communications,qtd_frases,912,6.292763157894737,5.0,4.0,1.0,49.0,48.0,3.0,5.0,7.0,5.456225584184798,29.77039762551274
MC1 - Communications,media_palavras_por_frase,912,9.583118678127942,9.75,1.0,1.0,38.0,37.0,7.25,9.75,12.5,4.5333009185062885,20.55081721772996
MC1 - Participants,round_index,100,10.06,9.0,9.0,0.0,22.0,22.0,5.0,9.0,14.25,6.139489663916157,37.69333333333333
MC1 - Media Events,round_index,7,14.285714285714286,15.0,3.0,3.0,21.0,18.0,11.0,15.0,19.5,6.473388749701496,41.904761904761905
MC1 - News,round_index,50,15.7,17.5,18.0,4.0,22.0,18.0,11.25,17.5,20.0,5.3955764194346445,29.112244897959183
