round_index,hour,agent_id,agent_role,agent_label,declared_action,sentiment_at_turn,action_classification,hour_dt
0,2046-05-17T09:00:00,legal_agent,legal,Legal-Agent,,,,2046-05-17 09:00:00
0,2046-05-17T09:00:00,quality_agent,platform_trust,Platform-Trust-Agent,,,,2046-05-17 09:00:00
0,2046-05-17T09:00:00,pr_agent,pr,PR-Agent,,,,2046-05-17 09:00:00
0,2046-05-17T09:00:00,social_media_agent,social_media,Social-Manager-Agent,,,,2046-05-17 09:00:00
1,2046-05-18T09:00:00,pr_agent,pr,PR-Agent,,,,2046-05-18 09:00:00
1,2046-05-18T09:00:00,social_media_agent,social_media,Social-Manager-Agent,,,,2046-05-18 09:00:00
1,2046-05-18T09:00:00,quality_agent,platform_trust,Platform-Trust-Agent,,,,2046-05-18 09:00:00
1,2046-05-18T09:00:00,legal_agent,legal,Legal-Agent,,,,2046-05-18 09:00:00
2,2046-05-21T09:00:00,legal_agent,legal,Legal-Agent,,,,2046-05-21 09:00:00
2,2046-05-21T09:00:00,quality_agent,platform_trust,Platform-Trust-Agent,,,,2046-05-21 09:00:00
2,2046-05-21T09:00:00,social_media_agent,social_media,Social-Manager-Agent,,,,2046-05-21 09:00:00
2,2046-05-21T09:00:00,pr_agent,pr,PR-Agent,,,,2046-05-21 09:00:00
3,2046-05-22T09:00:00,social_media_agent,social_media,Social-Manager-Agent,,,,2046-05-22 09:00:00
3,2046-05-22T09:00:00,legal_agent,legal,Legal-Agent,,,,2046-05-22 09:00:00
3,2046-05-22T09:00:00,quality_agent,platform_trust,Platform-Trust-Agent,,,,2046-05-22 09:00:00
3,2046-05-22T09:00:00,pr_agent,pr,PR-Agent,,,,2046-05-22 09:00:00
4,2046-05-23T09:00:00,legal_agent,legal,Legal-Agent,,,,2046-05-23 09:00:00
4,2046-05-23T09:00:00,quality_agent,platform_trust,Platform-Trust-Agent,,,,2046-05-23 09:00:00
4,2046-05-23T09:00:00,pr_agent,pr,PR-Agent,,,,2046-05-23 09:00:00
4,2046-05-23T09:00:00,social_media_agent,social_media,Social-Manager-Agent,,,,2046-05-23 09:00:00
5,2046-05-24T09:00:00,legal_agent,legal,Legal-Agent,,,,2046-05-24 09:00:00
5,2046-05-24T09:00:00,quality_agent,platform_trust,Platform-Trust-Agent,,,,2046-05-24 09:00:00
5,2046-05-24T09:00:00,social_media_agent,social_media,Social-Manager-Agent,,,,2046-05-24 09:00:00
5,2046-05-24T09:00:00,pr_intern_agent,pr_intern,PR-Intern-Agent,,,,2046-05-24 09:00:00
5,2046-05-24T09:00:00,pr_agent,pr,PR-Agent,,,,2046-05-24 09:00:00
5,2046-05-24T09:00:00,intern_agent,intern,Intern-Agent,,,,2046-05-24 09:00:00
6,2046-05-25T09:00:00,quality_agent,platform_trust,Platform-Trust-Agent,,,,2046-05-25 09:00:00
6,2046-05-25T09:00:00,legal_agent,legal,Legal-Agent,,,,2046-05-25 09:00:00
6,2046-05-25T09:00:00,social_media_agent,social_media,Social-Manager-Agent,,,,2046-05-25 09:00:00
6,2046-05-25T09:00:00,pr_agent,pr,PR-Agent,,,,2046-05-25 09:00:00
6,2046-05-25T09:00:00,pr_intern_agent,pr_intern,PR-Intern-Agent,,,,2046-05-25 09:00:00
6,2046-05-25T09:00:00,intern_agent,intern,Intern-Agent,,,,2046-05-25 09:00:00
7,2046-05-28T09:00:00,social_media_agent,social_media,Social-Manager-Agent,,,,2046-05-28 09:00:00
7,2046-05-28T09:00:00,quality_agent,platform_trust,Platform-Trust-Agent,,,,2046-05-28 09:00:00
7,2046-05-28T09:00:00,pr_agent,pr,PR-Agent,,,,2046-05-28 09:00:00
7,2046-05-28T09:00:00,legal_agent,legal,Legal-Agent,,,,2046-05-28 09:00:00
7,2046-05-28T09:00:00,intern_agent,intern,Intern-Agent,,,,2046-05-28 09:00:00
7,2046-05-28T09:00:00,pr_intern_agent,pr_intern,PR-Intern-Agent,,,,2046-05-28 09:00:00
8,2046-05-29T09:00:00,social_media_agent,social_media,Social-Manager-Agent,,,,2046-05-29 09:00:00
8,2046-05-29T09:00:00,quality_agent,platform_trust,Platform-Trust-Agent,,,,2046-05-29 09:00:00
8,2046-05-29T09:00:00,intern_agent,intern,Intern-Agent,,,,2046-05-29 09:00:00
8,2046-05-29T09:00:00,pr_agent,pr,PR-Agent,,,,2046-05-29 09:00:00
8,2046-05-29T09:00:00,legal_agent,legal,Legal-Agent,,,,2046-05-29 09:00:00
8,2046-05-29T09:00:00,pr_intern_agent,pr_intern,PR-Intern-Agent,,,,2046-05-29 09:00:00
9,2046-05-30T09:00:00,legal_agent,legal,Legal-Agent,,,,2046-05-30 09:00:00
9,2046-05-30T09:00:00,judge_agent,judge,Judge-Agent,,,,2046-05-30 09:00:00
9,2046-05-30T09:00:00,social_media_agent,social_media,Social-Manager-Agent,,,,2046-05-30 09:00:00
9,2046-05-30T09:00:00,quality_agent,platform_trust,Platform-Trust-Agent,,,,2046-05-30 09:00:00
9,2046-05-30T09:00:00,pr_agent,pr,PR-Agent,,,,2046-05-30 09:00:00
9,2046-05-30T09:00:00,intern_agent,intern,Intern-Agent,,,,2046-05-30 09:00:00
9,2046-05-30T09:00:00,pr_intern_agent,pr_intern,PR-Intern-Agent,,,,2046-05-30 09:00:00
10,2046-05-31T09:00:00,social_media_agent,social_media,Social-Manager-Agent,,,,2046-05-31 09:00:00
10,2046-05-31T09:00:00,legal_agent,legal,Legal-Agent,,,,2046-05-31 09:00:00
10,2046-05-31T09:00:00,quality_agent,platform_trust,Platform-Trust-Agent,,,,2046-05-31 09:00:00
10,2046-05-31T09:00:00,judge_agent,judge,Judge-Agent,,,,2046-05-31 09:00:00
10,2046-05-31T09:00:00,pr_agent,pr,PR-Agent,,,,2046-05-31 09:00:00
10,2046-05-31T09:00:00,intern_agent,intern,Intern-Agent,,,,2046-05-31 09:00:00
11,2046-06-01T09:00:00,social_media_agent,social_media,Social-Manager-Agent,,,,2046-06-01 09:00:00
11,2046-06-01T09:00:00,legal_agent,legal,Legal-Agent,,,,2046-06-01 09:00:00
11,2046-06-01T09:00:00,quality_agent,platform_trust,Platform-Trust-Agent,,,,2046-06-01 09:00:00
11,2046-06-01T09:00:00,judge_agent,judge,Judge-Agent,,,,2046-06-01 09:00:00
11,2046-06-01T09:00:00,pr_agent,pr,PR-Agent,,,,2046-06-01 09:00:00
11,2046-06-01T09:00:00,intern_agent,intern,Intern-Agent,,,,2046-06-01 09:00:00
12,2046-06-04T09:00:00,social_media_agent,social_media,Social-Manager-Agent,,,,2046-06-04 09:00:00
12,2046-06-04T09:00:00,legal_agent,legal,Legal-Agent,,,,2046-06-04 09:00:00
