hour_dt,qtd_mensagens
2046-05-17 09:00:00,25
2046-05-18 09:00:00,40
2046-05-21 09:00:00,38
2046-05-22 09:00:00,42
2046-05-23 09:00:00,41
2046-05-24 09:00:00,23
2046-05-25 09:00:00,23
2046-05-28 09:00:00,29
2046-05-29 09:00:00,41
2046-05-30 09:00:00,30
2046-05-31 09:00:00,31
2046-06-01 09:00:00,30
2046-06-04 09:00:00,24
2046-06-05 09:00:00,50
2046-06-05 10:00:00,50
2046-06-05 11:00:00,56
2046-06-05 12:00:00,56
2046-06-05 13:00:00,30
2046-06-05 14:00:00,45
2046-06-05 15:00:00,52
2046-06-05 16:00:00,45
2046-06-05 17:00:00,55
2046-06-05 18:00:00,56
