short_name,Agent/person,agent,desconhecido,person,system,world
access_email,5315,0,0,1127,0,0
access_files,2934,0,0,637,0,0
ask_agent,0,0,0,410,0,0
assign_agent_task,0,0,0,18856,0,0
check_access,0,0,3710,0,0,0
check_email,0,0,0,37286,0,0
check_in,15051,0,0,15051,0,0
create_file,16000,0,0,0,15053,0
delete_file,15057,0,0,0,15057,0
enter_room,0,0,3710,0,0,0
flex_post,0,0,0,120,0,0
give_advice,3412,0,0,629,0,0
list_files,2640,0,0,0,0,0
post_flex,120,0,0,36,120,0
post_saidit,105,0,0,28,105,0
propose_meeting,2957,0,0,6511,0,2957
queue_subordinate_task,18424,0,0,303,0,0
read_file,16265,2573,0,0,15055,0
received,0,0,0,14532,0,0
saidit_post,3,0,0,105,3,0
saidit_post_check,71,0,0,0,71,0
send_email,0,0,0,90,45,0
sent,0,0,0,14814,0,0
suggest_contacts,2972,0,0,645,0,0
