tabela,variavel,tipo_pandas,tipo_interpretado,qtd_valores_unicos,qtd_faltantes,percentual_faltantes
MC2 - Events,short_name,str,categórica/textual,24,0,0.0
MC2 - Events,parties,object,categórica/textual,5815,0,0.0
MC2 - Events,when,float64,numérica,171695,0,0.0
MC2 - Events,id,int64,numérica,185147,0,0.0
MC2 - Events,details_from,str,categórica/textual,49,170429,92.05
MC2 - Events,details_to,str,categórica/textual,49,170429,92.05
MC2 - Events,details_subject,str,categórica/textual,80,170120,91.88
MC2 - Events,details_status,str,categórica/textual,2,170474,92.07
MC2 - Events,details_person,str,categórica/textual,49,131566,71.06
MC2 - Events,details_calendar_emails_sent,object,categórica/textual,1828,182190,98.4
MC2 - Events,details_meeting_organizer,str,categórica/textual,49,182190,98.4
MC2 - Events,details_meeting_participants,object,categórica/textual,1828,182190,98.4
MC2 - Events,details_meeting_time,str,categórica/textual,2740,182190,98.4
MC2 - Events,details_a2a_from,str,categórica/textual,49,182190,98.4
MC2 - Events,details_a2a_to,str,categórica/textual,1,182190,98.4
MC2 - Events,details_a2a_action,str,categórica/textual,1,182190,98.4
MC2 - Events,details_a2a_timestamp,str,categórica/textual,2957,182190,98.4
MC2 - Events,details_a2a_payload_organizer,str,categórica/textual,49,182190,98.4
MC2 - Events,details_a2a_payload_participants,object,categórica/textual,1828,182190,98.4
MC2 - Events,details_a2a_payload_time,str,categórica/textual,2740,182190,98.4
MC2 - Events,details_task,str,categórica/textual,170,127511,68.87
MC2 - Events,details_time,str,categórica/textual,471,181125,97.83
MC2 - Events,details_details_person,str,categórica/textual,17,183393,99.05
MC2 - Events,details_details_task,str,categórica/textual,189,179776,97.1
MC2 - Events,details_details_participants,object,categórica/textual,2153,181573,98.07
MC2 - Events,details_details_time,str,categórica/textual,3261,181573,98.07
MC2 - Events,details_details_subject,str,categórica/textual,424,181573,98.07
MC2 - Events,details_access_type,str,categórica/textual,3,182213,98.42
MC2 - Events,details_action,str,categórica/textual,4,132612,71.63
