data,qtd_eventos
2046-05-08,313
2046-05-09,2039
2046-05-10,15102
2046-05-11,31383
2046-05-12,33260
2046-05-13,2043
2046-05-14,2458
2046-05-15,1322
2046-05-16,1247
2046-05-17,1146
2046-05-18,1499
2046-05-19,2221
2046-05-20,1275
2046-05-21,1335
2046-05-22,1252
2046-05-23,2012
2046-05-24,2003
2046-05-25,1956
2046-05-26,1287
2046-05-27,1392
2046-05-28,1569
2046-05-29,1146
2046-05-30,2012
2046-05-31,1985
2046-06-01,2196
2046-06-02,1298
2046-06-03,1218
2046-06-04,1267
2046-06-05,2259
2046-06-06,1276
2046-06-07,1169
2046-06-08,1648
2046-06-09,1220
2046-06-10,1804
2046-06-11,1408
2046-06-12,1321
2046-06-13,2186
2046-06-14,1270
2046-06-15,1126
2046-06-16,1893
2046-06-17,1188
2046-06-18,2208
2046-06-19,1246
2046-06-20,1506
2046-06-21,1595
2046-06-22,2007
2046-06-23,1946
2046-06-24,2284
2046-06-25,1295
2046-06-26,1202
2046-06-27,1272
2046-06-28,1765
2046-06-29,1216
2046-06-30,1627
2046-07-01,1260
2046-07-02,1832
2046-07-03,1251
2046-07-04,2022
2046-07-05,1732
2046-07-06,1358
2046-07-07,1959
2046-07-08,2014
2046-07-09,1281
2046-07-10,1343
2046-07-11,1248
2046-07-12,1097
2046-07-13,2008
2046-07-14,1887
2046-07-15,1276
2046-07-16,1406
