details_from,frequencia_absoluta,frequencia_relativa_percentual
Não informado,170429,92.05
person:olivia_keel,440,0.24
person:matthew_tide,417,0.23
person:levi_signal,388,0.21
person:daniel_gangway,387,0.21
person:liam_anchor,375,0.2
person:david_breakwater,356,0.19
person:emma_harbor,349,0.19
person:julian_seaway,344,0.19
person:ella_pilot,340,0.18
person:owen_hatch,339,0.18
person:victoria_rigging,339,0.18
person:alexander_jetty,336,0.18
person:harper_oar,335,0.18
person:evelyn_dock,335,0.18
person:noah_mariner,331,0.18
person:william_rudder,331,0.18
person:james_stern,323,0.17
person:michael_capstan,322,0.17
person:nora_bulkhead,320,0.17
person:benjamin_mooring,306,0.17
person:sebastian_cutter,303,0.16
person:abigail_spinnaker,299,0.16
person:hannah_starboard,295,0.16
person:gabriel_sonar,286,0.15
person:dylan_hawser,279,0.15
person:lily_anchorline,278,0.15
person:layla_channel,277,0.15
person:audrey_portside,277,0.15
person:john_windward,277,0.15
person:charlotte_current,274,0.15
person:chloe_ballast,273,0.15
person:avery_sextant,272,0.15
person:sophia_beacon,272,0.15
person:christopher_jettyline,271,0.15
person:grace_lifeboat,271,0.15
person:mia_fender,270,0.15
person:joseph_buoy,268,0.14
person:scarlett_wharf,266,0.14
person:ava_tiller,265,0.14
person:lucas_compass,260,0.14
person:jack_helm,259,0.14
person:samuel_gull,250,0.14
person:anthony_reef,248,0.13
person:henry_sail,248,0.13
person:isaac_mast,245,0.13
person:aria_towline,241,0.13
person:emily_ferry,233,0.13
person:zoey_drydock,232,0.13
person:amelia_skiff,216,0.12
