details_to,frequencia_absoluta,frequencia_relativa_percentual
Não informado,170429,92.05
person:david_breakwater,479,0.26
person:zoey_drydock,438,0.24
person:evelyn_dock,437,0.24
person:chloe_ballast,429,0.23
person:jack_helm,427,0.23
person:noah_mariner,369,0.2
person:william_rudder,368,0.2
person:scarlett_wharf,367,0.2
person:mia_fender,356,0.19
person:liam_anchor,340,0.18
person:lucas_compass,325,0.18
person:charlotte_current,322,0.17
person:alexander_jetty,321,0.17
person:joseph_buoy,319,0.17
person:victoria_rigging,313,0.17
person:james_stern,306,0.17
person:benjamin_mooring,306,0.17
person:christopher_jettyline,302,0.16
person:olivia_keel,297,0.16
person:sophia_beacon,296,0.16
person:dylan_hawser,295,0.16
person:aria_towline,294,0.16
person:daniel_gangway,294,0.16
person:sebastian_cutter,292,0.16
person:ella_pilot,291,0.16
person:isaac_mast,286,0.15
person:avery_sextant,284,0.15
person:layla_channel,283,0.15
person:audrey_portside,282,0.15
person:lily_anchorline,278,0.15
person:owen_hatch,276,0.15
person:gabriel_sonar,276,0.15
person:matthew_tide,270,0.15
person:julian_seaway,269,0.15
person:samuel_gull,263,0.14
person:nora_bulkhead,259,0.14
person:michael_capstan,252,0.14
person:henry_sail,249,0.13
person:amelia_skiff,247,0.13
person:harper_oar,247,0.13
person:emma_harbor,243,0.13
person:ava_tiller,239,0.13
person:john_windward,239,0.13
person:abigail_spinnaker,238,0.13
person:grace_lifeboat,236,0.13
person:levi_signal,232,0.13
person:emily_ferry,230,0.12
person:anthony_reef,230,0.12
person:hannah_starboard,227,0.12
