palavra,frequencia
person,178491
txt,34054
meeting,19478
2046,16692
zoey,15451
drydock,15451
work,12944
triage,12783
order,12559
request,11699
calendar,11686
gabriel,11405
sonar,11405
vendor,9879
dispatch,9743
owen,9259
hatch,9259
irrigation,8654
operations,7828
evelyn,7585
dock,7585
06,7551
general,7430
05,7228
agent,6987
sla,6720
tracking,6577
propose,6531
maintenance,6489
requests,6375
crop,6109
fence,4456
updates,4250
follow,3993
up,3942
advice,3843
olivia,3744
keel,3744
current,3738
victoria,3672
rigging,3672
suggest,3657
contacts,3621
david,3613
breakwater,3613
liam,3448
anchor,3448
07,3447
chloe,3442
ballast,3442
