short_name,frequencia_absoluta,frequencia_relativa_percentual
check_email,37286,20.14
assign_agent_task,18856,10.18
read_file,18838,10.17
queue_subordinate_task,17038,9.2
create_file,16000,8.64
delete_file,15057,8.13
check_in,15051,8.13
sent,7407,4.0
received,7266,3.92
access_email,6442,3.48
give_advice,4041,2.18
check_access,3710,2.0
enter_room,3710,2.0
suggest_contacts,3617,1.95
propose_meeting,3574,1.93
access_files,3571,1.93
list_files,2640,1.43
ask_agent,410,0.22
post_flex,156,0.08
post_saidit,133,0.07
flex_post,120,0.06
saidit_post,108,0.06
saidit_post_check,71,0.04
send_email,45,0.02
