event_id,short_name,timestamp,party,party_type
15246,sent,2046-05-08 20:18:12,person:isaac_mast,person
15246,sent,2046-05-08 20:18:12,person:levi_signal,person
15249,propose_meeting,2046-05-08 20:19:02,person:levi_signal,person
15249,propose_meeting,2046-05-08 20:19:02,person:avery_sextant,person
15249,propose_meeting,2046-05-08 20:19:02,person:sophia_beacon,person
15249,propose_meeting,2046-05-08 20:19:02,world:calendar,world
15249,propose_meeting,2046-05-08 20:19:02,Agent/person:isaac_mast,Agent/person
15251,access_email,2046-05-08 20:19:05,person:isaac_mast,person
15252,assign_agent_task,2046-05-08 20:19:25,person:mia_fender,person
15259,access_email,2046-05-08 20:19:37,Agent/person:isaac_mast,Agent/person
15264,assign_agent_task,2046-05-08 20:19:48,person:lily_anchorline,person
15266,propose_meeting,2046-05-08 20:20:12,person:lily_anchorline,person
15272,access_files,2046-05-08 20:22:01,Agent/person:lily_anchorline,Agent/person
15276,assign_agent_task,2046-05-08 20:22:13,person:lily_anchorline,person
15281,assign_agent_task,2046-05-08 20:24:20,person:mia_fender,person
15285,list_files,2046-05-08 20:25:00,Agent/person:lily_anchorline,Agent/person
15291,sent,2046-05-08 20:25:00,person:lily_anchorline,person
15291,sent,2046-05-08 20:25:00,person:sebastian_cutter,person
15296,access_email,2046-05-08 20:25:34,Agent/person:mia_fender,Agent/person
15302,access_files,2046-05-08 20:25:43,Agent/person:gabriel_sonar,Agent/person
15307,assign_agent_task,2046-05-08 20:26:14,person:gabriel_sonar,person
15314,queue_subordinate_task,2046-05-08 20:26:56,Agent/person:lily_anchorline,Agent/person
15314,queue_subordinate_task,2046-05-08 20:26:56,Agent/person:evelyn_dock,Agent/person
15318,access_email,2046-05-08 20:28:51,Agent/person:gabriel_sonar,Agent/person
15322,propose_meeting,2046-05-08 20:29:14,person:sebastian_cutter,person
15322,propose_meeting,2046-05-08 20:29:14,world:calendar,world
15322,propose_meeting,2046-05-08 20:29:14,Agent/person:lily_anchorline,Agent/person
15328,assign_agent_task,2046-05-08 20:32:07,person:lily_anchorline,person
15331,list_files,2046-05-08 20:32:07,Agent/person:david_breakwater,Agent/person
15338,list_files,2046-05-08 20:32:33,Agent/person:gabriel_sonar,Agent/person
15340,assign_agent_task,2046-05-08 20:33:39,person:alexander_jetty,person
15344,access_files,2046-05-08 20:34:00,Agent/person:ava_tiller,Agent/person
15347,queue_subordinate_task,2046-05-08 20:34:13,Agent/person:gabriel_sonar,Agent/person
15347,queue_subordinate_task,2046-05-08 20:34:13,Agent/person:levi_signal,Agent/person
15348,list_files,2046-05-08 20:35:47,Agent/person:ava_tiller,Agent/person
15353,access_files,2046-05-08 20:36:31,Agent/person:alexander_jetty,Agent/person
15356,assign_agent_task,2046-05-08 20:37:19,person:gabriel_sonar,person
15360,list_files,2046-05-08 20:38:12,Agent/person:hannah_starboard,Agent/person
15361,read_file,2046-05-08 20:38:25,Agent/person:alexander_jetty,Agent/person
15366,assign_agent_task,2046-05-08 20:38:41,person:gabriel_sonar,person
15372,suggest_contacts,2046-05-08 20:38:43,Agent/person:alexander_jetty,Agent/person
15377,assign_agent_task,2046-05-08 20:39:15,person:ava_tiller,person
15382,propose_meeting,2046-05-08 20:40:02,person:gabriel_sonar,person
15383,suggest_contacts,2046-05-08 20:42:06,Agent/person:alexander_jetty,Agent/person
15388,assign_agent_task,2046-05-08 20:42:07,person:alexander_jetty,person
15395,give_advice,2046-05-08 20:42:41,Agent/person:alexander_jetty,Agent/person
15402,assign_agent_task,2046-05-08 20:43:04,person:alexander_jetty,person
15408,assign_agent_task,2046-05-08 20:44:03,person:alexander_jetty,person
15412,sent,2046-05-08 20:45:00,person:alexander_jetty,person
15412,sent,2046-05-08 20:45:00,person:james_stern,person
15417,access_email,2046-05-08 20:46:09,Agent/person:alexander_jetty,Agent/person
15423,assign_agent_task,2046-05-08 20:46:12,person:alexander_jetty,person
15425,queue_subordinate_task,2046-05-08 20:46:33,person:alexander_jetty,person
15427,give_advice,2046-05-08 20:47:26,Agent/person:alexander_jetty,Agent/person
15429,assign_agent_task,2046-05-08 20:48:33,person:alexander_jetty,person
15433,assign_agent_task,2046-05-08 20:49:43,person:alexander_jetty,person
15438,access_email,2046-05-08 20:50:15,Agent/person:alexander_jetty,Agent/person
15442,sent,2046-05-08 20:51:59,person:alexander_jetty,person
15442,sent,2046-05-08 20:51:59,person:chloe_ballast,person
15447,assign_agent_task,2046-05-08 20:52:06,person:alexander_jetty,person
15453,give_advice,2046-05-08 20:52:31,person:alexander_jetty,person
15460,sent,2046-05-08 20:52:40,person:alexander_jetty,person
15460,sent,2046-05-08 20:52:40,person:aria_towline,person
15467,propose_meeting,2046-05-08 20:53:01,world:calendar,world
15467,propose_meeting,2046-05-08 20:53:01,Agent/person:alexander_jetty,Agent/person
15467,propose_meeting,2046-05-08 20:53:01,person:aria_towline,person
15470,sent,2046-05-08 20:53:22,person:alexander_jetty,person
15470,sent,2046-05-08 20:53:22,person:david_breakwater,person
15471,propose_meeting,2046-05-08 20:53:41,Agent/person:alexander_jetty,Agent/person
15471,propose_meeting,2046-05-08 20:53:41,world:calendar,world
15471,propose_meeting,2046-05-08 20:53:41,person:david_breakwater,person
15471,propose_meeting,2046-05-08 20:53:41,person:matthew_tide,person
15471,propose_meeting,2046-05-08 20:53:41,person:nora_bulkhead,person
15474,assign_agent_task,2046-05-08 20:53:58,person:alexander_jetty,person
15477,sent,2046-05-08 20:56:58,person:alexander_jetty,person
15477,sent,2046-05-08 20:56:58,person:nora_bulkhead,person
15478,assign_agent_task,2046-05-08 20:58:27,person:alexander_jetty,person
15483,assign_agent_task,2046-05-08 20:58:32,person:alexander_jetty,person
15490,assign_agent_task,2046-05-08 20:58:33,person:alexander_jetty,person
15494,access_email,2046-05-08 20:59:32,Agent/person:alexander_jetty,Agent/person
15496,sent,2046-05-08 20:59:37,person:alexander_jetty,person
15496,sent,2046-05-08 20:59:37,person:matthew_tide,person
15497,queue_subordinate_task,2046-05-08 20:59:42,Agent/person:henry_sail,Agent/person
15497,queue_subordinate_task,2046-05-08 20:59:42,Agent/person:alexander_jetty,Agent/person
15504,assign_agent_task,2046-05-08 21:00:00,person:alexander_jetty,person
15511,queue_subordinate_task,2046-05-08 21:00:29,Agent/person:alexander_jetty,Agent/person
15511,queue_subordinate_task,2046-05-08 21:00:29,Agent/person:daniel_gangway,Agent/person
15515,suggest_contacts,2046-05-08 21:01:41,Agent/person:alexander_jetty,Agent/person
15516,sent,2046-05-08 21:02:37,person:alexander_jetty,person
15516,sent,2046-05-08 21:02:37,person:matthew_tide,person
15523,give_advice,2046-05-08 21:02:41,person:alexander_jetty,person
15528,sent,2046-05-08 21:02:42,person:alexander_jetty,person
15528,sent,2046-05-08 21:02:42,person:ava_tiller,person
15535,propose_meeting,2046-05-08 21:03:27,person:matthew_tide,person
15535,propose_meeting,2046-05-08 21:03:27,world:calendar,world
15535,propose_meeting,2046-05-08 21:03:27,Agent/person:alexander_jetty,Agent/person
15535,propose_meeting,2046-05-08 21:03:27,person:ava_tiller,person
15542,suggest_contacts,2046-05-08 21:03:30,Agent/person:alexander_jetty,Agent/person
15547,assign_agent_task,2046-05-08 21:03:57,person:alexander_jetty,person
15552,sent,2046-05-08 21:05:08,person:alexander_jetty,person
15552,sent,2046-05-08 21:05:08,person:john_windward,person
15556,assign_agent_task,2046-05-08 21:05:32,person:alexander_jetty,person
15557,sent,2046-05-08 21:05:57,person:alexander_jetty,person
15557,sent,2046-05-08 21:05:57,person:amelia_skiff,person
15558,assign_agent_task,2046-05-08 21:07:29,person:alexander_jetty,person
15565,propose_meeting,2046-05-08 21:09:17,person:john_windward,person
15565,propose_meeting,2046-05-08 21:09:17,world:calendar,world
15565,propose_meeting,2046-05-08 21:09:17,person:amelia_skiff,person
15565,propose_meeting,2046-05-08 21:09:17,Agent/person:alexander_jetty,Agent/person
15568,access_email,2046-05-08 21:10:15,Agent/person:alexander_jetty,Agent/person
