short_name,parties,when,id,details_from,details_to,details_subject,details_status,details_person,details_calendar_emails_sent,details_meeting_organizer,details_meeting_participants,details_meeting_time,details_a2a_from,details_a2a_to,details_a2a_action,details_a2a_timestamp,details_a2a_payload_organizer,details_a2a_payload_participants,details_a2a_payload_time,details_task,details_time,details_details_person,details_details_task,details_details_participants,details_details_time,details_details_subject,details_access_type,details_action,details_target,details_meeting_proposed_with,details_file,details_content_length,details_contacts,details_details_contacts,details_topic,details_advice,details_details_topic,details_sent_to,details_reply_sent_to,details_draft_for_review_from,details_draft_for_review_to,details_draft_for_review_subject,details_draft_for_review_body,details_draft_for_review_formal,details_draft_for_review_needs_review,details_target_agent,details_args_path,details_room,details_name,details_granted,details_file_saved,details_content,details_forum,details_poster_id,details_timestamp,details_details_forum,details_details_content,details_question,details_response,details_size_hint,details_content_source,details_combo,details_source,details_virus,details_word_count,details_details_combo,details_spread,qtd_parties,parties_texto,tipos_parties,timestamp,data,hora,dia_semana,texto_evento,qtd_caracteres_texto,qtd_palavras_texto,tem_texto,possui_link,possui_html,possui_hashtag,possui_mencao,possui_caracter_estranho
propose_meeting,"[""person:levi_signal"", ""person:avery_sextant"", ""person:sophia_beacon"", ""world:calendar"", ""Agent/person:isaac_mast""]",2409423542.0,15249,,,,,person:isaac_mast,"[""person:sophia_beacon"", ""person:avery_sextant"", ""person:levi_signal""]",person:isaac_mast,"[""person:sophia_beacon"", ""person:avery_sextant"", ""person:levi_signal""]",2046-05-08T04:59:53,agent:person:isaac_mast,world:calendar,propose_meeting,2046-05-08T13:14:11,person:isaac_mast,"[""person:sophia_beacon"", ""person:avery_sextant"", ""person:levi_signal""]",2046-05-08T04:59:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,person:levi_signal; person:avery_sextant; person:sophia_beacon; world:calendar; Agent/person:isaac_mast,Agent/person; person; world,2046-05-08 20:19:02,2046-05-08,20,Tuesday,person:isaac_mast person:isaac_mast person:sophia_beacon person:avery_sextant person:levi_signal 2046-05-08T04:59:53 person:sophia_beacon person:avery_sextant person:levi_signal agent:person:isaac_mast propose_meeting 2046-05-08T13:14:11 person:isaac_mast person:sophia_beacon person:avery_sextant person:levi_signal 2046-05-08T04:59:53,336,57,True,False,False,False,False,False
propose_meeting,"[""Agent/person:alexander_jetty"", ""world:calendar"", ""person:david_breakwater"", ""person:matthew_tide"", ""person:nora_bulkhead""]",2409425621.0,15471,,,,,person:alexander_jetty,"[""person:david_breakwater"", ""person:nora_bulkhead"", ""person:matthew_tide""]",person:alexander_jetty,"[""person:david_breakwater"", ""person:nora_bulkhead"", ""person:matthew_tide""]",2046-05-07T20:53:33,agent:person:alexander_jetty,world:calendar,propose_meeting,2046-05-08T13:54:51,person:alexander_jetty,"[""person:david_breakwater"", ""person:nora_bulkhead"", ""person:matthew_tide""]",2046-05-07T20:53:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Agent/person:alexander_jetty; world:calendar; person:david_breakwater; person:matthew_tide; person:nora_bulkhead,Agent/person; person; world,2046-05-08 20:53:41,2046-05-08,20,Tuesday,person:alexander_jetty person:alexander_jetty person:david_breakwater person:nora_bulkhead person:matthew_tide 2046-05-07T20:53:33 person:david_breakwater person:nora_bulkhead person:matthew_tide agent:person:alexander_jetty propose_meeting 2046-05-08T13:54:51 person:alexander_jetty person:david_breakwater person:nora_bulkhead person:matthew_tide 2046-05-07T20:53:33,368,57,True,False,False,False,False,False
propose_meeting,"[""person:matthew_tide"", ""world:calendar"", ""Agent/person:alexander_jetty"", ""person:ava_tiller""]",2409426207.0,15535,,,,,person:alexander_jetty,"[""person:matthew_tide"", ""person:ava_tiller""]",person:alexander_jetty,"[""person:matthew_tide"", ""person:ava_tiller""]",2046-05-08T02:26:53,agent:person:alexander_jetty,world:calendar,propose_meeting,2046-05-08T14:05:01,person:alexander_jetty,"[""person:matthew_tide"", ""person:ava_tiller""]",2046-05-08T02:26:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,person:matthew_tide; world:calendar; Agent/person:alexander_jetty; person:ava_tiller,Agent/person; person; world,2046-05-08 21:03:27,2046-05-08,21,Tuesday,person:alexander_jetty person:alexander_jetty person:matthew_tide person:ava_tiller 2046-05-08T02:26:53 person:matthew_tide person:ava_tiller agent:person:alexander_jetty propose_meeting 2046-05-08T14:05:01 person:alexander_jetty person:matthew_tide person:ava_tiller 2046-05-08T02:26:53,287,48,True,False,False,False,False,False
propose_meeting,"[""person:john_windward"", ""world:calendar"", ""person:amelia_skiff"", ""Agent/person:alexander_jetty""]",2409426557.0,15565,,,,,person:alexander_jetty,"[""person:john_windward"", ""person:amelia_skiff""]",person:alexander_jetty,"[""person:john_windward"", ""person:amelia_skiff""]",2046-05-08T01:56:53,agent:person:alexander_jetty,world:calendar,propose_meeting,2046-05-08T14:09:05,person:alexander_jetty,"[""person:john_windward"", ""person:amelia_skiff""]",2046-05-08T01:56:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,person:john_windward; world:calendar; person:amelia_skiff; Agent/person:alexander_jetty,Agent/person; person; world,2046-05-08 21:09:17,2046-05-08,21,Tuesday,person:alexander_jetty person:alexander_jetty person:john_windward person:amelia_skiff 2046-05-08T01:56:53 person:john_windward person:amelia_skiff agent:person:alexander_jetty propose_meeting 2046-05-08T14:09:05 person:alexander_jetty person:john_windward person:amelia_skiff 2046-05-08T01:56:53,296,48,True,False,False,False,False,False
propose_meeting,"[""world:calendar"", ""Agent/person:david_breakwater"", ""person:noah_mariner"", ""person:abigail_spinnaker""]",2409427647.0,15650,,,,,person:david_breakwater,"[""person:abigail_spinnaker"", ""person:noah_mariner""]",person:david_breakwater,"[""person:abigail_spinnaker"", ""person:noah_mariner""]",2046-05-08T01:41:53,agent:person:david_breakwater,world:calendar,propose_meeting,2046-05-08T14:29:25,person:david_breakwater,"[""person:abigail_spinnaker"", ""person:noah_mariner""]",2046-05-08T01:41:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,world:calendar; Agent/person:david_breakwater; person:noah_mariner; person:abigail_spinnaker,Agent/person; person; world,2046-05-08 21:27:27,2046-05-08,21,Tuesday,person:david_breakwater person:david_breakwater person:abigail_spinnaker person:noah_mariner 2046-05-08T01:41:53 person:abigail_spinnaker person:noah_mariner agent:person:david_breakwater propose_meeting 2046-05-08T14:29:25 person:david_breakwater person:abigail_spinnaker person:noah_mariner 2046-05-08T01:41:53,312,48,True,False,False,False,False,False
propose_meeting,"[""person:noah_mariner"", ""person:harper_oar"", ""world:calendar"", ""person:christopher_jettyline"", ""Agent/person:david_breakwater""]",2409427784.0,15657,,,,,person:david_breakwater,"[""person:noah_mariner"", ""person:christopher_jettyline"", ""person:harper_oar""]",person:david_breakwater,"[""person:noah_mariner"", ""person:christopher_jettyline"", ""person:harper_oar""]",2046-05-08T01:24:53,agent:person:david_breakwater,world:calendar,propose_meeting,2046-05-08T14:31:27,person:david_breakwater,"[""person:noah_mariner"", ""person:christopher_jettyline"", ""person:harper_oar""]",2046-05-08T01:24:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,person:noah_mariner; person:harper_oar; world:calendar; person:christopher_jettyline; Agent/person:david_breakwater,Agent/person; person; world,2046-05-08 21:29:44,2046-05-08,21,Tuesday,person:david_breakwater person:david_breakwater person:noah_mariner person:christopher_jettyline person:harper_oar 2046-05-08T01:24:53 person:noah_mariner person:christopher_jettyline person:harper_oar agent:person:david_breakwater propose_meeting 2046-05-08T14:31:27 person:david_breakwater person:noah_mariner person:christopher_jettyline person:harper_oar 2046-05-08T01:24:53,378,57,True,False,False,False,False,False
propose_meeting,"[""world:calendar"", ""person:charlotte_current"", ""person:emily_ferry"", ""Agent/person:david_breakwater"", ""person:hannah_starboard""]",2409428094.0,15717,,,,,person:david_breakwater,"[""person:hannah_starboard"", ""person:charlotte_current"", ""person:emily_ferry""]",person:david_breakwater,"[""person:hannah_starboard"", ""person:charlotte_current"", ""person:emily_ferry""]",2046-05-08T01:51:53,agent:person:david_breakwater,world:calendar,propose_meeting,2046-05-08T14:33:29,person:david_breakwater,"[""person:hannah_starboard"", ""person:charlotte_current"", ""person:emily_ferry""]",2046-05-08T01:51:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,world:calendar; person:charlotte_current; person:emily_ferry; Agent/person:david_breakwater; person:hannah_starboard,Agent/person; person; world,2046-05-08 21:34:54,2046-05-08,21,Tuesday,person:david_breakwater person:david_breakwater person:hannah_starboard person:charlotte_current person:emily_ferry 2046-05-08T01:51:53 person:hannah_starboard person:charlotte_current person:emily_ferry agent:person:david_breakwater propose_meeting 2046-05-08T14:33:29 person:david_breakwater person:hannah_starboard person:charlotte_current person:emily_ferry 2046-05-08T01:51:53,381,57,True,False,False,False,False,False
propose_meeting,"[""Agent/person:ava_tiller"", ""world:calendar"", ""person:isaac_mast"", ""person:sophia_beacon""]",2409432313.0,16066,,,,,person:ava_tiller,"[""person:isaac_mast"", ""person:sophia_beacon""]",person:ava_tiller,"[""person:isaac_mast"", ""person:sophia_beacon""]",2046-05-07T11:35:24,agent:person:ava_tiller,world:calendar,propose_meeting,2046-05-08T15:45:40,person:ava_tiller,"[""person:isaac_mast"", ""person:sophia_beacon""]",2046-05-07T11:35:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Agent/person:ava_tiller; world:calendar; person:isaac_mast; person:sophia_beacon,Agent/person; person; world,2046-05-08 22:45:13,2046-05-08,22,Tuesday,person:ava_tiller person:ava_tiller person:isaac_mast person:sophia_beacon 2046-05-07T11:35:24 person:isaac_mast person:sophia_beacon agent:person:ava_tiller propose_meeting 2046-05-08T15:45:40 person:ava_tiller person:isaac_mast person:sophia_beacon 2046-05-07T11:35:24,270,48,True,False,False,False,False,False
propose_meeting,"[""person:sophia_beacon"", ""Agent/person:lily_anchorline"", ""world:calendar"", ""person:william_rudder""]",2409433193.0,16139,,,,,person:lily_anchorline,"[""person:william_rudder"", ""person:sophia_beacon""]",person:lily_anchorline,"[""person:william_rudder"", ""person:sophia_beacon""]",2046-05-07T12:21:24,agent:person:lily_anchorline,world:calendar,propose_meeting,2046-05-08T15:53:48,person:lily_anchorline,"[""person:william_rudder"", ""person:sophia_beacon""]",2046-05-07T12:21:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,person:sophia_beacon; Agent/person:lily_anchorline; world:calendar; person:william_rudder,Agent/person; person; world,2046-05-08 22:59:53,2046-05-08,22,Tuesday,person:lily_anchorline person:lily_anchorline person:william_rudder person:sophia_beacon 2046-05-07T12:21:24 person:william_rudder person:sophia_beacon agent:person:lily_anchorline propose_meeting 2046-05-08T15:53:48 person:lily_anchorline person:william_rudder person:sophia_beacon 2046-05-07T12:21:24,302,48,True,False,False,False,False,False
propose_meeting,"[""world:calendar"", ""Agent/person:avery_sextant"", ""person:hannah_starboard"", ""person:ella_pilot""]",2409433627.0,16198,,,,,person:avery_sextant,"[""person:ella_pilot"", ""person:hannah_starboard""]",person:avery_sextant,"[""person:ella_pilot"", ""person:hannah_starboard""]",2046-05-08T06:17:53,agent:person:avery_sextant,world:calendar,propose_meeting,2046-05-08T16:08:02,person:avery_sextant,"[""person:ella_pilot"", ""person:hannah_starboard""]",2046-05-08T06:17:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,world:calendar; Agent/person:avery_sextant; person:hannah_starboard; person:ella_pilot,Agent/person; person; world,2046-05-08 23:07:07,2046-05-08,23,Tuesday,person:avery_sextant person:avery_sextant person:ella_pilot person:hannah_starboard 2046-05-08T06:17:53 person:ella_pilot person:hannah_starboard agent:person:avery_sextant propose_meeting 2046-05-08T16:08:02 person:avery_sextant person:ella_pilot person:hannah_starboard 2046-05-08T06:17:53,291,48,True,False,False,False,False,False
